Betriebszustand,Drehzahl,Gewicht,Pumpe,Timestamp,Trommel,Waschprogramm,_id
0,800,0,0,2022/02/22 16:36:10:743739,0,Pflegeleicht 30,621502ea07ba2f7238e7db9c
0,800,0,0,2022/02/22 16:36:10:948968,0,Pflegeleicht 30,621502ea07ba2f7238e7db9d
0,800,0,0,2022/02/22 16:36:10:976258,0,Pflegeleicht 30,621502eb07ba2f7238e7db9e
0,800,0,0,2022/02/22 16:36:11:355125,0,Pflegeleicht 30,621502ec07ba2f7238e7db9f
0,800,0,0,2022/02/22 16:36:12:217213,0,Pflegeleicht 30,621502ec07ba2f7238e7dba0
0,800,0,0,2022/02/22 16:36:12:263149,0,Pflegeleicht 30,621502ec07ba2f7238e7dba1
0,800,0,0,2022/02/22 16:36:12:293075,0,Pflegeleicht 30,621502ec07ba2f7238e7dba2
0,800,0,0,2022/02/22 16:36:12:325046,0,Pflegeleicht 30,621502ec07ba2f7238e7dba3
0,800,0,0,2022/02/22 16:36:12:353072,0,Pflegeleicht 30,621502ec07ba2f7238e7dba4
0,800,0,0,2022/02/22 16:36:12:495453,0,Pflegeleicht 30,621502ec07ba2f7238e7dba5
0,800,0,0,2022/02/22 16:36:12:628637,0,Pflegeleicht 30,621502ec07ba2f7238e7dba6
0,800,0,0,2022/02/22 16:36:12:656604,0,Pflegeleicht 30,621502ec07ba2f7238e7dba7
0,800,0,0,2022/02/22 16:36:12:679324,0,Pflegeleicht 30,621502ec07ba2f7238e7dba8
0,800,0,0,2022/02/22 16:36:12:713479,0,Pflegeleicht 30,621502ec07ba2f7238e7dba9
0,800,0,0,2022/02/22 16:36:12:736919,0,Pflegeleicht 30,621502ed07ba2f7238e7dbaa
0,800,0,0,2022/02/22 16:36:13:388963,0,Pflegeleicht 30,621502ed07ba2f7238e7dbab
0,800,0,0,2022/02/22 16:36:13:869315,0,Pflegeleicht 30,621502ed07ba2f7238e7dbac
0,800,0,0,2022/02/22 16:36:13:920575,0,Pflegeleicht 30,621502ed07ba2f7238e7dbad
0,800,0,0,2022/02/22 16:36:13:949731,0,Pflegeleicht 30,621502ed07ba2f7238e7dbae
0,800,0,0,2022/02/22 16:36:13:995818,0,Pflegeleicht 30,621502ee07ba2f7238e7dbaf
0,800,0,0,2022/02/22 16:36:14:034183,0,Pflegeleicht 30,621502ee07ba2f7238e7dbb0
0,800,0,0,2022/02/22 16:36:14:054763,0,Pflegeleicht 30,621502ee07ba2f7238e7dbb1
0,800,0,0,2022/02/22 16:36:14:081443,0,Pflegeleicht 30,621502ee07ba2f7238e7dbb2
0,800,0,0,2022/02/22 16:36:14:238103,0,Pflegeleicht 30,621502ee07ba2f7238e7dbb3
0,800,0,0,2022/02/22 16:36:14:267984,0,Pflegeleicht 30,621502ee07ba2f7238e7dbb4
0,800,0,0,2022/02/22 16:36:14:302400,0,Pflegeleicht 30,621502ee07ba2f7238e7dbb5
0,800,0,0,2022/02/22 16:36:14:328766,0,Pflegeleicht 30,621502ee07ba2f7238e7dbb6
