AX,AY,AZ,_id,datetime,label
0.03540,0.99829,-0.11914,61c45e1b172df0c49c99444f,2021/12/23 11:31:39:255,waschen
0.04883,1.00220,-0.12842,61c45e1c172df0c49c994450,2021/12/23 11:31:39:755,waschen
0.04028,0.99487,-0.12231,61c45e1c172df0c49c994451,2021/12/23 11:31:40:253,waschen
0.03979,0.99756,-0.13037,61c45e1d172df0c49c994452,2021/12/23 11:31:40:751,waschen
0.03247,0.99585,-0.12695,61c45e1d172df0c49c994453,2021/12/23 11:31:41:250,waschen
0.03882,0.99756,-0.12378,61c45e7533a39d3301eb034b,2021/12/23 11:33:8:710,pumpen
0.04297,1.00415,-0.12476,61c45e7533a39d3301eb034c,2021/12/23 11:33:9:210,pumpen
0.02954,0.99658,-0.11890,61c45e7633a39d3301eb034d,2021/12/23 11:33:9:708,pumpen
0.03418,0.99292,-0.11304,61c45e7733a39d3301eb034e,2021/12/23 11:33:10:207,pumpen
0.03735,0.99634,-0.10938,61c45e7733a39d3301eb034f,2021/12/23 11:33:10:707,pumpen
0.04175,0.99658,-0.11987,61c45e7733a39d3301eb0350,2021/12/23 11:33:11:206,pumpen
0.04688,1.00024,-0.13062,61c45e7833a39d3301eb0351,2021/12/23 11:33:11:705,pumpen
0.04321,0.99390,-0.11401,61c45e7833a39d3301eb0352,2021/12/23 11:33:12:205,pumpen
0.03857,0.99316,-0.11255,61c45e7933a39d3301eb0353,2021/12/23 11:33:12:705,pumpen
0.02881,0.99609,-0.10620,61c45e7933a39d3301eb0354,2021/12/23 11:33:13:202,pumpen
0.04663,0.99756,-0.10498,61c45e7a33a39d3301eb0355,2021/12/23 11:33:13:701,pumpen
0.04175,0.99731,-0.11230,61c45e7a33a39d3301eb0356,2021/12/23 11:33:14:200,pumpen
0.04321,0.99878,-0.11328,61c45e7b33a39d3301eb0357,2021/12/23 11:33:14:700,pumpen
0.04224,1.00293,-0.10840,61c45e7b33a39d3301eb0358,2021/12/23 11:33:15:198,pumpen
0.04688,0.99805,-0.12109,61c45e7c33a39d3301eb0359,2021/12/23 11:33:15:697,pumpen
0.04541,0.99683,-0.12476,61c45e7c33a39d3301eb035a,2021/12/23 11:33:16:196,pumpen
0.04199,0.99536,-0.11572,61c45e7d33a39d3301eb035b,2021/12/23 11:33:16:695,pumpen
0.04492,0.99731,-0.13062,61c45e7d33a39d3301eb035c,2021/12/23 11:33:17:195,pumpen
0.03809,0.98950,-0.12451,61c45e7e33a39d3301eb035d,2021/12/23 11:33:17:695,pumpen
0.04492,0.99878,-0.13477,61c45e7e33a39d3301eb035e,2021/12/23 11:33:18:193,pumpen
0.03735,0.99756,-0.10596,61c45e7f33a39d3301eb035f,2021/12/23 11:33:18:692,pumpen
0.02588,1.00049,-0.13477,61c45e7f33a39d3301eb0360,2021/12/23 11:33:19:192,pumpen
0.02417,0.99365,-0.10938,61c45e8033a39d3301eb0361,2021/12/23 11:33:19:691,pumpen
0.03442,1.00269,-0.11353,61c45e8033a39d3301eb0362,2021/12/23 11:33:20:190,pumpen
0.02661,0.99390,-0.10889,61c45e8133a39d3301eb0363,2021/12/23 11:33:20:690,pumpen
0.04883,0.99390,-0.11890,61c45e8133a39d3301eb0364,2021/12/23 11:33:21:188,pumpen
0.03442,1.00391,-0.10327,61c45e8233a39d3301eb0365,2021/12/23 11:33:21:688,pumpen
0.03760,0.99902,-0.11450,61c45e8233a39d3301eb0366,2021/12/23 11:33:22:187,pumpen
0.04419,0.99316,-0.10791,61c45e8333a39d3301eb0367,2021/12/23 11:33:22:686,pumpen
0.04248,0.99976,-0.12085,61c45e8333a39d3301eb0368,2021/12/23 11:33:23:185,pumpen
0.04858,0.99536,-0.13013,61c45e8433a39d3301eb0369,2021/12/23 11:33:23:685,pumpen
0.03955,0.99927,-0.12085,61c45e8433a39d3301eb036a,2021/12/23 11:33:24:185,pumpen
0.04663,0.99731,-0.12061,61c45ec082ca226ea2f62a74,2021/12/23 11:34:23:450,waschen
0.04297,0.99243,-0.11719,61c45ec082ca226ea2f62a75,2021/12/23 11:34:23:948,waschen
