AX,AY,AZ,_id,datetime,label
0.0402832,1.00269,-0.119385,61c3a69da7723ba69c4b4290,2000/1/1 5:0:0:4:218,test
0.0334473,1.00073,-0.120605,61c3a69da7723ba69c4b4291,2000/1/1 5:0:0:4:672,test
0.04224,0.99707,-0.11841,61c3a6e3a740428e5dbec6e7,2021/12/22 22:29:54:277,test
0.04395,0.99634,-0.12476,61c3a6e3a740428e5dbec6e8,2021/12/22 22:29:54:772,test
0.04297,0.99634,-0.11328,61c3a6e3a740428e5dbec6e9,2021/12/22 22:29:55:267,test
0.04272,0.99609,-0.11353,61c3a6e4a740428e5dbec6ea,2021/12/22 22:29:55:761,test
0.03760,1.00269,-0.11963,61c3a6e5a740428e5dbec6eb,2021/12/22 22:29:56:256,test
0.04224,0.99658,-0.12183,61c3a6e5a740428e5dbec6ec,2021/12/22 22:29:56:751,test
0.03882,0.99976,-0.11792,61c3a6e6a740428e5dbec6ed,2021/12/22 22:29:57:246,test
0.04688,0.99658,-0.11743,61c3a6e6a740428e5dbec6ee,2021/12/22 22:29:57:740,test
0.04395,0.99805,-0.11841,61c3a6e6a740428e5dbec6ef,2021/12/22 22:29:58:235,test
0.04126,0.99829,-0.12305,61c3a6e7a740428e5dbec6f0,2021/12/22 22:29:58:730,test
0.03857,0.99854,-0.12085,61c3a6e8a740428e5dbec6f1,2021/12/22 22:29:59:223,test
0.04199,1.00122,-0.11987,61c3a6e8a740428e5dbec6f2,2021/12/22 22:29:59:718,test
0.04102,0.99854,-0.11523,61c3a6e8a740428e5dbec6f3,2021/12/22 22:30:0:212,test
0.04321,0.99292,-0.12231,61c3a6e9a740428e5dbec6f4,2021/12/22 22:30:0:706,test
0.04028,0.99658,-0.12207,61c3a6eaa740428e5dbec6f5,2021/12/22 22:30:1:201,test
0.03931,1.00220,-0.11890,61c3a6eaa740428e5dbec6f6,2021/12/22 22:30:1:695,test
0.04053,1.00000,-0.11719,61c3a6eba740428e5dbec6f7,2021/12/22 22:30:2:190,test
0.04175,0.99463,-0.11035,61c3a6eba740428e5dbec6f8,2021/12/22 22:30:2:683,test
0.04028,0.99536,-0.11182,61c3a6eba740428e5dbec6f9,2021/12/22 22:30:3:178,test
0.04346,1.00000,-0.11255,61c3a6eca740428e5dbec6fa,2021/12/22 22:30:3:672,test
0.04224,0.99609,-0.11572,61c3a6eda740428e5dbec6fb,2021/12/22 22:30:4:166,test
0.04272,0.99243,-0.12134,61c3a6eda740428e5dbec6fc,2021/12/22 22:30:4:660,test
